ts,event_id,protocol,asset,liq_usd,penalty_bps
1754699700,evt00000,proto1,AST1,,263
1754700100,evt00001,proto1,AST1,1169.84,514
1754699800,evt00002,proto1,AST1,3720.1,714
1754700200,evt00003,proto1,AST1,6956.19,906
1754699900,evt00004,proto1,AST1,5791.76,1163
1754699960,evt00005,proto1,AST1,3383.79,426
1754699660,evt00006,proto1,AST1,8621.36,689
1754699360,evt00007,proto1,AST1,,665
1754699760,evt00008,proto1,AST1,8900.88,582
1754699820,evt00009,proto1,AST1,6353.23,1134
1754699880,evt00010,proto1,AST1,6845.27,1021
1754700280,evt00011,proto1,AST1,7451.36,980
1754699980,evt00012,proto1,AST1,6161.44,810
1754699680,evt00013,proto1,AST1,4786.5,740
1754700080,evt00014,proto1,AST1,,570
1754699780,evt00015,proto1,AST1,8265.13,314
1754699480,evt00016,proto1,AST1,7479.51,1124
1754699880,evt00017,proto1,AST1,1915.15,749
1754699580,evt00018,proto1,AST1,1581.09,1074
1754699980,evt00019,proto1,AST1,4043.54,896
1754699680,evt00000,proto1,AST1,6486.23,700
1754699380,evt00001,proto1,AST1,,1120
1754699780,evt00002,proto1,AST1,4075.89,256
1754699840,evt00003,proto1,AST1,1291.67,625
1754699900,evt00004,proto1,AST1,5127.53,772
1754699960,evt00005,proto1,AST1,6094.18,515
1754700360,evt00006,proto1,AST1,313.32,460
1754700060,evt00007,proto1,AST1,6742.74,792
1754699760,evt00008,proto1,AST1,,246
1754699820,evt00009,proto1,AST1,3179.42,265
1754700220,evt00010,proto1,AST1,8947.82,1157
1754699920,evt00011,proto1,AST1,8876.9,683
1754699620,evt00012,proto1,AST1,2669.37,384
1754699320,evt00013,proto1,AST1,6920.55,946
1754699720,evt00014,proto1,AST1,8678.39,583
1754699780,evt00015,proto1,AST1,,659
1754699840,evt00016,proto1,AST1,3455.73,899
1754700240,evt00017,proto1,AST1,7886.04,336
1754700640,evt00018,proto1,AST1,7759.34,321
1754700340,evt00019,proto1,AST1,8936.48,602
