ts,event_id,protocol,asset,liq_size_usd,penalty_bps
1754700659,evt00000,proto1,AST1,185418.64,450
1754700892,evt00001,proto2,AST6,25731.49,958
1754701455,evt00002,proto1,AST5,105549.82,230
1754701555,evt00003,proto2,AST2,126398.18,227
1754702134,evt00004,proto2,AST6,162513.12,758
1754702568,evt00005,proto2,AST4,147365.71,1028
1754703463,evt00006,proto1,AST2,174571.07,548
1754703752,evt00007,proto2,AST2,239308.4,544
1754703861,evt00008,proto1,AST4,24287.49,1067
1754704218,evt00009,proto3,AST1,182465.38,749
1754704350,evt00010,proto4,AST1,138063.91,1049
1754704998,evt00011,proto3,AST5,48169.07,271
1754705049,evt00012,proto2,AST3,246307.15,1075
1754705292,evt00013,proto1,AST4,69580.04,850
1754706151,evt00014,proto3,AST2,92620.82,414
1754706842,evt00015,proto3,AST6,234171.25,863
1754706920,evt00016,proto2,AST5,182314.2,367
1754707398,evt00017,proto4,AST3,247382.09,855
1754708107,evt00018,proto2,AST6,81151.77,986
1754708906,evt00019,proto1,AST2,205472.03,1024
1754709234,evt00020,proto4,AST3,16659.21,1135
1754709819,evt00021,proto3,AST2,163901.01,605
1754710482,evt00022,proto4,AST2,66308.26,452
1754711249,evt00023,proto3,AST6,146196.35,1119
1754711851,evt00024,proto4,AST3,54923.87,341
1754712377,evt00025,proto4,AST1,188974.85,1081
1754712494,evt00026,proto2,AST6,40096.3,896
1754712931,evt00027,proto1,AST4,95479.03,679
1754713477,evt00028,proto3,AST5,215211.63,211
1754714178,evt00029,proto1,AST6,221210.94,968
1754714456,evt00030,proto3,AST1,73459.81,361
1754714925,evt00031,proto1,AST6,218978.13,469
1754715442,evt00032,proto2,AST5,228167.44,1091
1754716087,evt00033,proto3,AST6,126974.8,403
1754716248,evt00034,proto3,AST2,134900.03,997
1754716796,evt00035,proto1,AST5,81120.12,219
1754716915,evt00036,proto3,AST3,59954.34,446
1754717500,evt00037,proto1,AST1,183009.07,1035
1754717575,evt00038,proto2,AST2,164978.54,1169
1754718142,evt00039,proto2,AST3,131975.13,821
1754718580,evt00040,proto2,AST5,188845.67,906
1754718790,evt00041,proto3,AST4,248787.92,865
1754719177,evt00042,proto4,AST5,112937.36,453
1754719412,evt00043,proto1,AST3,5376.04,767
1754719652,evt00044,proto2,AST1,17859.75,846
1754719717,evt00045,proto2,AST1,226366.35,1080
1754720060,evt00046,proto1,AST5,59592.6,885
1754720562,evt00047,proto2,AST5,33182.08,1157
1754721151,evt00048,proto4,AST2,196180.7,1026
1754721572,evt00049,proto2,AST1,24341.07,641
1754721939,evt00050,proto4,AST4,116820.12,946
1754721999,evt00051,proto1,AST1,100727.01,547
1754722823,evt00052,proto1,AST2,47994.53,749
1754723287,evt00053,proto2,AST4,45969.99,673
1754723547,evt00054,proto1,AST4,202028.6,1076
1754724115,evt00055,proto1,AST1,163077.97,753
1754724976,evt00056,proto1,AST1,231600.58,1069
1754725223,evt00057,proto2,AST4,121472.0,418
1754726113,evt00058,proto4,AST1,41259.52,202
1754726517,evt00059,proto3,AST4,71398.08,913
1754727270,evt00060,proto4,AST2,47571.68,422
1754727334,evt00061,proto1,AST6,78483.57,251
1754727937,evt00062,proto4,AST5,229856.46,743
1754728103,evt00063,proto1,AST5,20138.25,390
1754728178,evt00064,proto1,AST6,215471.38,613
1754728305,evt00065,proto2,AST5,148678.45,834
1754728393,evt00066,proto4,AST6,145968.03,735
1754728721,evt00067,proto3,AST2,167471.13,521
1754728970,evt00068,proto3,AST4,32823.87,860
1754729282,evt00069,proto4,AST3,232263.1,1158
1754729361,evt00070,proto1,AST4,155335.27,776
1754729468,evt00071,proto1,AST5,53383.0,471
1754729608,evt00072,proto3,AST1,219832.05,578
1754729904,evt00073,proto2,AST4,208456.19,920
1754730218,evt00074,proto1,AST6,204297.98,506
1754730902,evt00075,proto1,AST2,66204.74,1111
1754731016,evt00076,proto2,AST3,70525.26,415
1754731755,evt00077,proto3,AST2,171911.78,1073
1754732030,evt00078,proto4,AST3,226345.48,1066
1754732087,evt00079,proto1,AST6,105963.11,483
1754732137,evt00080,proto1,AST3,192807.27,852
1754732410,evt00081,proto2,AST6,110525.86,922
1754732852,evt00082,proto1,AST1,18921.94,1104
1754733564,evt00083,proto2,AST5,9122.71,578
1754734165,evt00084,proto2,AST4,31966.09,515
1754734543,evt00085,proto1,AST3,52613.93,455
1754735230,evt00086,proto1,AST3,195055.45,1105
1754736130,evt00087,proto4,AST5,187399.47,1147
1754736377,evt00088,proto2,AST2,220368.28,225
1754736565,evt00089,proto3,AST4,200582.52,1084
1754737322,evt00090,proto2,AST3,39900.36,918
